Date,Open,High,Low,Close,Adj Close,Volume
2021-11-16,149.940002,151.490005,149.339996,151.000000,151.000000,59256200
2021-11-17,151.000000,155.000000,150.990005,153.490005,153.490005,88807000
2021-11-18,153.710007,158.669998,153.050003,157.869995,157.869995,137827700
2021-11-19,157.649994,161.020004,156.529999,160.550003,160.550003,117305600
2021-11-22,161.679993,165.699997,161.000000,161.020004,161.020004,117467900
2021-11-23,161.119995,161.800003,159.059998,161.410004,161.410004,96041900
2021-11-24,160.750000,162.139999,159.639999,161.940002,161.940002,69463600
2021-11-26,159.570007,160.449997,156.360001,156.809998,156.809998,76959800
2021-11-29,159.369995,161.190002,158.789993,160.240005,160.240005,88748200
2021-11-30,159.990005,165.520004,159.919998,165.300003,165.300003,174048100
2021-12-01,167.479996,170.300003,164.529999,164.770004,164.770004,152052500
2021-12-02,158.740005,164.199997,157.800003,163.759995,163.759995,136739200
2021-12-03,164.020004,164.960007,159.720001,161.839996,161.839996,117938300
2021-12-06,164.289993,167.880005,164.279999,165.320007,165.320007,107497000
2021-12-07,169.080002,171.580002,168.339996,171.179993,171.179993,120405400
2021-12-08,172.130005,175.960007,170.699997,175.080002,175.080002,116998900
2021-12-09,174.910004,176.750000,173.919998,174.559998,174.559998,108923700
2021-12-10,175.210007,179.630005,174.690002,179.449997,179.449997,115228100
2021-12-13,181.119995,182.130005,175.529999,175.740005,175.740005,153237000
2021-12-14,175.250000,177.740005,172.210007,174.330002,174.330002,139380400
2021-12-15,175.110001,179.500000,172.309998,179.300003,179.300003,131063300
